SearchID,Year,League,Team,Role,G,GS,CG,SHO,W,L,SV,HLD,HP,IP,BF,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,K%,BB%,HR%,BABIP,LOB%,WL%,ERA,RA-,FIP-,RA9-WAR,WAR
100011,1944,JBL,Hanshin,UC,31,24,24,5,22,4,,,,248,990,199,1,53,,0,45,0,1,59,43,0.045,0.054,0.001,0.224,0.77,0.846,1.56,63,83,7.4,4.9
100011,1946,JBL,Osaka,UC,12,7,7,0,4,4,,,,82.7,359,83,1,38,,3,25,1,0,35,28,0.07,0.106,0.003,0.286,0.726,0.5,3.05,87,98,1.5,1
100011,1947,JBL,Osaka,UC,43,35,31,10,26,12,,,,331.7,1318,277,8,69,,5,86,1,0,101,77,0.065,0.052,0.006,0.236,0.736,0.684,2.09,84,87,6.1,5.9
100011,1948,JBL,Osaka,UC,48,33,26,4,17,20,,,,326.3,1338,318,7,66,,2,78,0,2,120,90,0.058,0.049,0.005,0.266,0.707,0.459,2.48,94,89,4.5,5.7
100011,1949,JBL,Osaka,UC,43,25,19,4,15,14,,,,271,1135,271,14,73,,3,93,1,1,117,99,0.082,0.064,0.012,0.273,0.703,0.517,3.29,80,86,5.9,5.1
100011,1950,PL,Mainichi,UC,14,7,4,1,4,3,,,,73,306,79,7,15,,0,20,0,0,41,30,0.065,0.049,0.023,0.274,0.629,0.571,3.7,108,101,0.5,0.8
100011,1951,PL,Mainichi,UC,11,5,0,0,0,4,,,,41,173,46,6,6,,0,14,0,1,29,22,0.081,0.035,0.035,0.284,0.528,0,4.83,160,118,-0.7,0.1
100011,1942,JBL,Hanshin,UC,58,27,24,4,26,12,,,,377.3,1518,294,4,127,,3,109,1,0,96,67,0.072,0.084,0.003,0.232,0.784,0.684,1.6,91,91,5.3,5.7
100015,1936.1S,JBL,Nagoya,UC,1,0,0,0,0,0,,,,3,-1,2,0,0,,0,3,2,0,0,0,0.273,0,0,0.25,1,,0,0,41,0.2,0.1
100018,1936.1S,JBL,Nagoya,UC,12,10,3,0,2,5,,,,58.3,257,65,1,57,,2,26,1,0,52,42,0.101,0.222,0.004,0.368,0.587,0.286,6.48,151,125,-0.9,-0.1
100019,1939,JBL,Senators,UC,6,3,1,0,0,1,,,,31,136,29,1,13,,1,8,1,0,17,15,0.059,0.096,0.007,0.259,0.625,0,4.35,139,108,-0.2,0.2
100019,1938.2F,JBL,Senators,UC,1,0,0,0,0,0,,,,1,5,1,0,0,,0,0,0,0,0,0,0,0,0,0.2,1,,0,0,71,0.1,0
100019,1940,JBL,Tsubasa,UC,2,1,0,0,0,1,,,,9,43,12,1,5,,0,5,0,0,9,6,0.116,0.116,0.023,0.344,0.513,0,6,294,131,-0.5,0
100021,1936.2F,JBL,Nagoya,UC,17,14,6,1,4,8,,,,85,408,78,0,78,,1,19,1,0,49,32,0.047,0.191,0,0.261,0.688,0.333,3.39,121,135,-0.1,-0.5
