playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
1032668,MLB_callaed01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,7,0.0
1032669,MLB_callaed01_NPB__KBO_,1884,UA,BSU,3,0,0,0,0,0,1,Batting,7,0.0
1033959,MLB_carroch01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1034029,MLB_carropa01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1034030,MLB_carropa01_NPB__KBO_,1884,UA,PHU,2,0,0,0,0,0,1,Batting,7,0.0
1034031,MLB_carrosc01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,7,0.0
1034258,MLB_caseyda01_NPB__KBO_,1884,UA,WIL,1,0,0,0,0,0,1,Batting,7,0.0
1034265,MLB_caseyde01_NPB__KBO_,1884,UA,WIL,1,0,0,0,0,0,1,Batting,7,0.0
1034846,MLB_cattajo01_NPB__KBO_,1884,UA,SLU,2,0,0,0,0,0,2,Batting,7,0.0
1035600,MLB_chattji01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1036850,MLB_clemeja01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,3.0
1036971,MLB_cleveel01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,1,Batting,7,0.0
1038292,MLB_connojo01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1038293,MLB_connojo01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,7,0.0
1039150,MLB_corriph01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1039729,MLB_craneed01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,1,Batting,7,12.0
1039745,MLB_cranesa01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,3,Batting,7,1.0
1039920,MLB_creegma01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1040150,MLB_cronida01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1040151,MLB_cronida01_NPB__KBO_,1884,UA,SLU,2,0,0,0,0,0,1,Batting,7,0.0
1040245,MLB_crosscl01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1040246,MLB_crosscl01_NPB__KBO_,1884,UA,PHU,2,0,0,0,0,0,1,Batting,7,0.0
1040247,MLB_crosscl01_NPB__KBO_,1884,UA,KCU,3,0,0,0,0,0,1,Batting,7,0.0
1040299,MLB_crothdo01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1040303,MLB_crottjo01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,2,Batting,7,1.0
1040684,MLB_cudwoji01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1040730,MLB_cuffjo01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,7,0.0
1040759,MLB_cullejo01_NPB__KBO_,1884,UA,WIL,1,0,0,0,0,0,1,Batting,7,0.0
1041034,MLB_cushmed01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,2,Batting,7,0.0
1041043,MLB_cusicto01_NPB__KBO_,1884,UA,WIL,1,0,0,0,0,0,1,Batting,7,0.0
1041073,MLB_cuthbne01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,8,Batting,7,0.0
1041243,MLB_dailyhu01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,2,Batting,7,0.0
1041244,MLB_dailyhu01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,2,Batting,7,0.0
1041248,MLB_daisege01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1041357,MLB_dalyto01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1041443,MLB_daniech01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,1,Batting,7,0.0
1042201,MLB_davisju01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1042560,MLB_dealypa01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,7,0.0
1042620,MLB_deasljo01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1042621,MLB_deasljo01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,7,0.0
1042699,MLB_deckeha01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,2,Batting,7,0.0
1044060,MLB_dickebu01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,3,Batting,7,0.0
1044732,MLB_dolanto01_NPB__KBO_,1884,UA,SLU,2,0,0,0,0,0,3,Batting,7,0.0
1044929,MLB_donneji02_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1045144,MLB_dorseje01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,7,0.0
1045216,MLB_doughch01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1045295,MLB_dowcl01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,1,Batting,7,0.0
1045668,MLB_drewda01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1045669,MLB_drewda01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,1,Batting,7,0.0
1046017,MLB_duganbi01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,2,Batting,7,0.0
1046217,MLB_dunlafr01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,2,Batting,7,13.0
1046307,MLB_dunnst01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,7,0.0
1046528,MLB_dwighal01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1046797,MLB_eastehe01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1047438,MLB_ellicjo01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,3,Batting,7,0.0
1047439,MLB_ellicjo01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,3,Batting,7,0.0
1047440,MLB_ellicjo01_NPB__KBO_,1884,UA,BLU,3,0,0,0,0,0,3,Batting,7,0.0
1048662,MLB_eversto01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,2,Batting,7,0.0
1048694,MLB_ewingjo01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,2,Batting,7,0.0
1048695,MLB_ewingjo01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,2,Batting,7,0.0
1048883,MLB_falchan01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,1,Batting,7,0.0
1050230,MLB_fishe01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1050257,MLB_fishech02_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1050258,MLB_fishech02_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,1,Batting,7,0.0
1050297,MLB_fishege01_NPB__KBO_,1884,UA,WIL,2,0,0,0,0,0,2,Batting,7,0.0
1050955,MLB_flynnjo01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,4.0
1050956,MLB_flynnjo01_NPB__KBO_,1884,UA,BSU,2,0,0,0,0,0,1,Batting,7,0.0
1051038,MLB_foleywi01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,3,Batting,7,0.0
1051274,MLB_foremfr01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1051275,MLB_foremfr01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,7,0.0
1051511,MLB_fostero02_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1051973,MLB_frank01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1052910,MLB_fulmech02_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1052999,MLB_fusseed01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,2,Batting,7,1.0
1053132,MLB_gagusch01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1053259,MLB_gallabi01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,3,Batting,7,0.0
1053412,MLB_galvilo01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,7,0.0
1053540,MLB_ganzech01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,7,0.0
1053997,MLB_gardngi01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,3,Batting,7,0.0
1053998,MLB_gardngi01_NPB__KBO_,1884,UA,BLU,3,0,0,0,0,0,3,Batting,7,0.0
1054567,MLB_geerbi01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,4,Batting,7,0.0
1055403,MLB_gilleto01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1055693,MLB_glassja01_NPB__KBO_,1884,UA,CNU,2,0,0,0,0,0,2,Batting,7,2.0
1055782,MLB_gleasja01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,3,Batting,7,4.0
1056920,MLB_gormaja01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,2,Batting,7,0.0
1056942,MLB_gormato04_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1057242,MLB_gradyjo01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1057277,MLB_grahabe01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1057278,MLB_grahabe01_NPB__KBO_,1884,UA,BLU,2,0,0,0,0,0,1,Batting,7,0.0
1057751,MLB_greenji01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1058259,MLB_griffth01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,1,Batting,7,0.0
1058606,MLB_grossem01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,2,Batting,7,4.0
1059274,MLB_gunsojo01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1059647,MLB_hackewa01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,1,Batting,7,1.0
1060287,MLB_halpiji01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,2,Batting,7,0.0
1061004,MLB_harbibi01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,3,Batting,7,2.0
1061521,MLB_harrifr01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,7,0.0
1062265,MLB_hawesbi01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,2,Batting,7,4.0
1063429,MLB_henglmo01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1063430,MLB_henglmo01_NPB__KBO_,1884,UA,SPU,2,0,0,0,0,0,1,Batting,7,0.0
1064603,MLB_hickmer01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1065467,MLB_hodnech01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,2,Batting,7,0.0
1065662,MLB_hoganed02_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,1,Batting,7,0.0
1066274,MLB_hoovebu01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,1,Batting,7,0.0
1066351,MLB_horanjo01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,0.0
1066615,MLB_housech01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,7,1.0
1067407,MLB_hughebi01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,7,0.0
1067962,MLB_hutchbi01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,7,0.0
1068417,MLB_irwinjo01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,2,Batting,7,1.0
