playerId,Season,TeamKor,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
65522,2025,Lotte,P,28,0,30,0,1,1,4,0,1,0,0,0,-
78513,2025,Lotte,OF,28,27,215 1/3,0,0,40,1,1,1,0,0,0,-
54598,2025,Lotte,SS,27,18,168 1/3,5,0,17,45,7,0.925,0,0,0,-
50500,2025,Lotte,OF,27,27,209 2/3,2,0,40,1,0,0.953,0,0,0,-
62528,2025,Lotte,P,22,0,24 1/3,0,0,1,6,0,1,0,0,0,-
77564,2025,Lotte,3B,20,13,111 1/3,0,0,1,19,1,1,0,0,0,-
69594,2025,Lotte,P,20,2,28 2/3,0,0,4,2,0,1,0,0,0,-
54598,2025,Lotte,2B,19,1,38 1/3,0,0,4,14,5,1,0,0,0,-
54529,2025,Lotte,OF,16,16,121 1/3,1,0,25,0,0,0.962,0,0,0,-
52504,2025,Lotte,OF,14,0,16,0,0,6,0,0,1,0,0,0,-
77564,2025,Lotte,2B,12,10,81,0,0,17,22,4,1,0,0,0,-
64021,2025,Lotte,P,12,12,72 2/3,1,1,2,10,1,0.923,0,0,0,-
52591,2025,Lotte,OF,12,11,74,0,0,23,0,0,1,0,0,0,-
55536,2025,Lotte,P,11,11,64 2/3,2,0,3,9,1,0.857,0,0,0,-
62802,2025,Lotte,SS,11,7,58,2,0,11,18,6,0.935,0,0,0,-
67539,2025,Lotte,P,10,10,49 2/3,0,0,4,4,0,1,0,0,0,-
60559,2025,Lotte,P,10,0,6 1/3,0,0,0,2,0,1,0,0,0,-
68507,2025,Lotte,OF,9,6,57,1,0,16,0,0,0.941,0,0,0,-
60523,2025,Lotte,1B,9,4,44 1/3,0,0,39,4,6,1,0,0,0,-
52568,2025,Lotte,2B,9,0,13 1/3,0,0,5,2,0,1,0,0,0,-
52528,2025,Lotte,P,8,8,45 2/3,0,0,2,4,0,1,0,0,0,-
62802,2025,Lotte,2B,7,0,10,0,0,1,7,1,1,0,0,0,-
54503,2025,Lotte,P,7,0,5 2/3,0,0,0,1,0,1,0,0,0,-
68205,2025,Lotte,3B,7,5,48,1,0,8,13,1,0.955,0,0,0,-
51516,2025,Lotte,P,6,5,20 2/3,1,0,1,5,0,0.857,0,0,0,-
51528,2025,Lotte,C,6,1,15 2/3,0,0,7,1,0,1,0,3,0,0
63543,2025,Lotte,P,5,0,3 2/3,0,0,0,0,0,-,0,0,0,-
77564,2025,Lotte,1B,5,0,7,0,0,9,0,3,1,0,0,0,-
50556,2025,Lotte,P,5,0,5 1/3,1,0,0,1,0,0.5,0,0,0,-
52568,2025,Lotte,SS,5,1,14,1,0,5,6,2,0.917,0,0,0,-
63512,2025,Lotte,P,4,0,2 2/3,0,0,0,1,0,1,0,0,0,-
52530,2025,Lotte,P,4,4,20 1/3,0,0,0,3,0,1,0,0,0,-
68205,2025,Lotte,2B,4,2,19,0,0,7,4,2,1,0,0,0,-
52568,2025,Lotte,3B,4,0,7,0,0,0,0,0,-,0,0,0,-
52504,2025,Lotte,OF,3,0,8,0,0,2,1,0,1,0,0,0,-
55568,2025,Lotte,P,3,0,3 2/3,0,0,1,0,0,1,0,0,0,-
68507,2025,Lotte,OF,3,0,6,0,0,0,0,0,-,0,0,0,-
52516,2025,Lotte,OF,3,1,3,0,0,0,0,0,-,0,0,0,-
62884,2025,Lotte,1B,3,0,4,1,0,2,2,0,0.8,0,0,0,-
62363,2025,Lotte,P,3,2,8 2/3,0,0,0,0,0,-,0,0,0,-
52504,2025,Lotte,OF,2,0,10,0,0,4,0,0,1,0,0,0,-
55563,2025,Lotte,C,2,0,4,1,0,4,0,0,0.8,0,1,0,0
51546,2025,Lotte,P,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
50596,2025,Lotte,P,2,0,2,0,0,0,0,0,-,0,0,0,-
55532,2025,Lotte,P,1,1,4 2/3,0,0,0,2,0,1,0,0,0,-
69517,2025,Lotte,OF,1,0,2,0,0,0,0,0,-,0,0,0,-
67588,2025,Lotte,P,1,1,1,0,0,0,0,0,-,0,0,0,-
50608,2025,Lotte,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
60523,2025,Lotte,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
62884,2025,Lotte,2B,1,0,1,0,0,1,0,0,1,0,0,0,-
50500,2025,Lotte,OF,1,0,3,0,0,1,0,0,1,0,0,0,-
64166,2025,KT,OF,50,35,342 1/3,1,0,78,1,0,0.988,0,0,0,-
78548,2025,KT,C,50,47,392 2/3,2,0,349,23,2,0.995,2,47,5,9.6
64004,2025,KT,OF,47,45,361 1/3,1,0,71,1,0,0.986,0,0,0,-
67025,2025,KT,OF,41,38,297 1/3,1,0,62,3,1,0.985,0,0,0,-
51003,2025,KT,SS,40,32,275,8,0,61,84,14,0.948,0,0,0,-
64007,2025,KT,1B,36,31,261,0,0,241,22,22,1,0,0,0,-
79240,2025,KT,3B,32,31,270 1/3,4,0,28,46,4,0.949,0,0,0,-
65048,2025,KT,P,30,0,28 2/3,0,0,1,4,0,1,0,0,0,-
69041,2025,KT,P,29,0,30 1/3,0,0,5,5,0,1,0,0,0,-
76313,2025,KT,3B,28,25,219 2/3,1,0,18,16,2,0.971,0,0,0,-
52060,2025,KT,P,27,0,30,0,0,2,1,0,1,0,0,0,-
76313,2025,KT,1B,27,21,184 2/3,0,0,168,18,9,1,0,0,0,-
54063,2025,KT,P,26,0,27 2/3,0,0,0,5,0,1,0,0,0,-
79402,2025,KT,2B,22,21,171,0,0,33,62,12,1,0,0,0,-
73117,2025,KT,P,22,0,19 1/3,0,0,2,4,0,1,0,0,0,-
52001,2025,KT,OF,21,14,128 1/3,0,0,30,5,0,1,0,0,0,-
50054,2025,KT,2B,20,14,119 1/3,2,0,25,50,11,0.974,0,0,0,-
67025,2025,KT,OF,18,8,85,0,0,18,1,0,1,0,0,0,-
64504,2025,KT,2B,18,11,108 2/3,0,0,29,38,5,1,0,0,0,-
68089,2025,KT,C,15,2,36 1/3,0,0,26,4,0,1,0,3,0,0
51007,2025,KT,OF,14,2,41 1/3,0,0,7,0,0,1,0,0,0,-
64115,2025,KT,SS,13,11,94 1/3,0,0,18,23,6,1,0,0,0,-
79402,2025,KT,SS,12,10,89 1/3,2,0,22,24,4,0.958,0,0,0,-
